Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trial Running 06-07-2022,Chrome 103.0.5060.53,,,2022-07-06 00:12:53,2022-07-06 00:14:31,1m - 37.815s,PASSED
,,,,,,,
Test Cases/Success/DM4 - Sukses checkout dengan Promo installment,Chrome 103.0.5060.53,,,2022-07-06 00:12:53,2022-07-06 00:13:28,34.680s,PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-07-06 00:12:54,2022-07-06 00:12:59,4.839s,PASSED
navigateToUrl(base_url),Chrome 103.0.5060.53,,,2022-07-06 00:12:59,2022-07-06 00:13:01,1.759s,PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-07-06 00:13:01,2022-07-06 00:13:01,0.310s,PASSED
"priceTag = "", """").replace("","", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:01,2022-07-06 00:13:02,0.711s,PASSED
"verifyMatch(priceTag, findTestData(""checkout_data"").getValue(3, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:02,2022-07-06 00:13:03,0.965s,PASSED
"click(findTestObject(""Landing Page/buyNowBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:03,2022-07-06 00:13:03,0.571s,PASSED
"qtyField = replace(""×"", """").replace("" "", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:03,2022-07-06 00:13:04,0.637s,PASSED
"verifyMatch(qtyField, findTestData(""checkout_data"").getValue(2, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:04,2022-07-06 00:13:04,0.212s,PASSED
"verifyElementAttributeValue(findTestObject(""Checkout Page/amountField""), ""value"", findTestData(""checkout_data"").getValue(3, 1), 0)",Chrome 103.0.5060.53,,,2022-07-06 00:13:04,2022-07-06 00:13:05,0.576s,PASSED
"totalAmountField = getText(findTestObject(""Checkout Page/totalAmountField"")).replace("","", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:05,2022-07-06 00:13:05,0.354s,PASSED
"verifyMatch(totalAmountField, findTestData(""checkout_data"").getValue(4, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:05,2022-07-06 00:13:05,0.187s,PASSED
"setText(findTestObject(""Checkout Page/nameField""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:05,2022-07-06 00:13:06,0.882s,PASSED
"setText(findTestObject(""Checkout Page/emailField""), findTestData(""checkout_data"").getValue(6, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:06,2022-07-06 00:13:07,0.793s,PASSED
"setText(findTestObject(""Checkout Page/phoneField""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:07,2022-07-06 00:13:08,0.784s,PASSED
"setText(findTestObject(""Checkout Page/cityField""), findTestData(""checkout_data"").getValue(8, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:08,2022-07-06 00:13:08,0.815s,PASSED
"setText(findTestObject(""Checkout Page/addressField""), findTestData(""checkout_data"").getValue(9, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:08,2022-07-06 00:13:09,0.788s,PASSED
"setText(findTestObject(""Checkout Page/postalCodeField""), findTestData(""checkout_data"").getValue(10, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:09,2022-07-06 00:13:10,0.731s,PASSED
"click(findTestObject(""Checkout Page/checkoutBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:10,2022-07-06 00:13:10,0.447s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:10,2022-07-06 00:13:11,0.816s,PASSED
"totalAmountAtas = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:11,2022-07-06 00:13:11,0.170s,PASSED
"verifyMatch(totalAmountAtas, totalAmountField, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:11,2022-07-06 00:13:11,0.004s,PASSED
"orderIdText = getText(findTestObject(""Summary Order/orderData/orderID""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:11,2022-07-06 00:13:12,0.180s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:12,2022-07-06 00:13:12,0.248s,PASSED
"totalAmountBawah = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:12,2022-07-06 00:13:12,0.183s,PASSED
"verifyMatch(totalAmountBawah, totalAmountAtas, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:12,2022-07-06 00:13:12,0.003s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/name""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:12,2022-07-06 00:13:12,0.226s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/phone""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:12,2022-07-06 00:13:12,0.259s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:12,2022-07-06 00:13:13,0.255s,PASSED
"click(findTestObject(""paymentMethod/creditCard""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:13,2022-07-06 00:13:13,0.313s,PASSED
"setText(findTestObject(""fieldCreditCard/cardNumberField""), findTestData(""credit_card"").getValue(1, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:13,2022-07-06 00:13:14,0.576s,PASSED
"setText(findTestObject(""fieldCreditCard/expirationDateField""), findTestData(""credit_card"").getValue(2, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:14,2022-07-06 00:13:14,0.352s,PASSED
"setText(findTestObject(""fieldCreditCard/cvvField""), findTestData(""credit_card"").getValue(3, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:14,2022-07-06 00:13:14,0.277s,PASSED
"check(findTestObject(""promo/promoInstallment""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:14,2022-07-06 00:13:14,0.220s,PASSED
"valueInstallment = replace(""-Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:14,2022-07-06 00:13:15,0.146s,PASSED
"verifyMatch(valueInstallment, findTestData(""promo"").getValue(2, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.131s,PASSED
"amountAfterPromo = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.160s,PASSED
"verifyMatch(amountAfterPromo, findTestData(""promo"").getValue(4, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.062s,PASSED
"click(findTestObject(""paymentMethod/paynowBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.324s,PASSED
"switchToFrame(findTestObject(""Confirm OTP credit Card/iframeConfirmOTP""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.172s,PASSED
"setText(findTestObject(""Confirm OTP credit Card/otpField""), findTestData(""credit_card"").getValue(4, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:23,7.745s,PASSED
"click(findTestObject(""Confirm OTP credit Card/submitOTP""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:23,2022-07-06 00:13:26,2.904s,PASSED
switchToDefaultContent(),Chrome 103.0.5060.53,,,2022-07-06 00:13:26,2022-07-06 00:13:26,0.107s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:26,2022-07-06 00:13:27,0.506s,PASSED
